Generated by http://statistics.gov.scot,2021-02-11T14:07:58+00:00
http://statistics.gov.scot/data/healthy-life-expectancy,Healthy Life Expectancy
measure type,Count
Age,0 years
Sex,Female
SIMD quintiles,All
Urban Rural Classification,All
Measure (cell values): ,Count(Years)

,,http://reference.data.gov.uk/id/gregorian-interval/2015-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2016-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2017-01-01T00:00:00/P3Y
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,62.64,62.21,61.94
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,64.65,63.41,62.52
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,67.01,67.99,65.96
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,63.1,63.39,63.09
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,62.38,62.95,63.43
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,65.15,63.86,64.99
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,60.18,61.56,62.41
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,63.76,64.25,62.53
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,59.81,59.82,57.88
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,58.3,58.75,58.24
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,68.2,68.36,66.53
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,63.91,64.03,64.61
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,65.53,66.14,67.19
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,60.93,60.2,59.71
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,61.87,60.16,61.27
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,58.89,58.16,57.59
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,63.58,65.41,64.36
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,59.47,59.71,59.65
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,63.78,63.46,63.97
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,64.16,62.11,61.38
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,67.22,66.91,69.58
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,57.13,56.01,56.34
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,60.41,58.94,57.77
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,75.01,73.32,75.05
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,67.81,65.99,63.66
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,60.79,62.16,62.26
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,65.35,65.32,63.81
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,67.11,58.36,61.87
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,63.54,63.69,63.28
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,62.98,62.21,62.98
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,64.41,64.38,64.9
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,59.66,60.66,60.55
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,62.15,61.81,59.07
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,59.77,59.51,59.08
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,65.35,65.32,63.81
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,63.76,64.25,62.53
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,61.87,60.16,61.27
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,61.72,61.65,61.49
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,65.9,65.54,63.96
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,60.9,60.74,60.43
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,63.14,65.28,64.24
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,61.64,60.43,60.15
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,63.98,63.2,63.56
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,75.01,73.32,75.05
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,67.11,58.36,61.87
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,63.74,63.27,61.63
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,67.22,66.91,69.58
