Generated by http://statistics.gov.scot,2021-02-11T14:05:32+00:00
http://statistics.gov.scot/data/healthy-life-expectancy,Healthy Life Expectancy
measure type,Count
Age,0 years
Sex,Male
SIMD quintiles,All
Urban Rural Classification,All
Measure (cell values): ,Count(Years)

,,http://reference.data.gov.uk/id/gregorian-interval/2015-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2016-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2017-01-01T00:00:00/P3Y
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,62.32,61.88,61.68
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,61.47,60.96,60.59
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,68.12,68.92,67.91
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,62.92,61.15,60.98
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,64.29,65.21,64.7
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,65.03,65.4,66.29
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,62.57,62.21,62.78
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,64.44,64.17,62.39
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,56.47,56.46,56.84
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,60.16,57.79,59.33
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,68.92,69.69,69.81
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,65.31,65.45,65.2
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,66.48,68.77,68.28
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,63.23,62.1,62.39
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,62.29,60.97,61.56
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,57.22,56.08,54.59
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,66.26,64.34,63.95
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,60.47,59.58,58.35
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,61.76,61.02,63.36
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,64.24,62.12,61.48
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,64.97,66.07,66.99
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,56.01,57.33,58.52
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,58.12,57.96,58.67
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,64.62,66.68,69.33
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,67.63,66.64,66.32
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,60.95,60.17,60.74
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,64.48,63.5,63.31
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,68.12,67.49,68.95
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,62.13,61.68,59.96
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,60.76,59.27,57.91
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,64.77,63.28,61.79
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,58.18,58.35,59.13
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,61.88,63.04,61.33
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,59.16,58.83,59.42
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,64.48,63.5,63.31
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,64.44,64.17,62.39
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,62.29,60.97,61.56
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,63.45,62.53,62.26
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,65.16,65.01,64.4
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,60.06,59.53,59.01
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,65.57,64.29,64.1
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,59.33,58.57,58.28
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,64.1,64.47,64.82
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,64.62,66.68,69.33
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,68.12,67.49,68.95
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,62.62,61.65,61.39
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,64.97,66.07,66.99
